"CODI_ESTACIO";"NOM_ESTACIO";"CODI_TIPUS";"LATITUD";"LONGITUD";"Georeferència";"EMPLACAMENT";"ALTITUD";"CODI_MUNICIPI";"NOM_MUNICIPI";"CODI_COMARCA";"NOM_COMARCA";"CODI_PROVINCIA";"NOM_PROVINCIA";"CODI_XARXA";"NOM_XARXA";"CODI_ESTAT";"NOM_ESTAT";"DATA_ALTA";"DATA_BAIXA"
"X2";"Barcelona - Zoo";"A";"41,38943";"2,18847";"POINT (2.18847 41.38943)";"Zoo";"7";"80193";"Barcelona";"13";"Barcelonès";"8";"Barcelona";"1";"XEMA";"1";"Desmantellada";"22/09/2006";"03/10/2024"
"UH";"el Montmell";"A";"41,34172";"1,48769";"POINT (1.48769 41.34172)";"Finca Vallflor - Aigua Viva";"547";"430901";"El Montmell";"12";"Baix Penedès";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"13/07/1995";
"VI";"Lleida";"A";"41,62918";"0,59622";"POINT (0.59622 41.62918)";"Av. Alcalde Rovira Roure";"190";"251207";"Lleida";"33";"Segrià";"25";"Lleida";"1";"XEMA";"1";"Desmantellada";"30/03/1990";"15/06/2000"
"WT";"Malgrat de Mar";"A";"41,64706";"2,75659";"POINT (2.75659 41.64706)";"Camí de la Pomereda";"3";"81108";"Malgrat de Mar";"21";"Maresme";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"04/05/2005";
"WM";"Santuari de Queralt";"A";"42,10736";"1,8267";"POINT (1.8267 42.10736)";"Santuari de la Mare de Déu de Queralt";"1.169";"80229";"Berga";"14";"Berguedà";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"23/01/2002";
"W2";"Torroella de Fluvià";"A";"42,18259";"3,05783";"POINT (3.05783 42.18259)";"Camp de Pla d'Avall - Camp de la Creu";"7";"171984";"Torroella de Fluvià";"2";"Alt Empordà";"17";"Girona";"1";"XEMA";"1";"Desmantellada";"14/03/2000";"08/04/2014"
"UM";"la Granadella";"A";"41,35991";"0,66789";"POINT (0.66789 41.35991)";"Horts de la Vall Major";"507";"251018";"La Granadella";"18";"Garrigues";"25";"Lleida";"1";"XEMA";"2";"Operativa";"30/01/1992";
"UD";"Serra de Daró";"A";"42,02895";"3,06227";"POINT (3.06227 42.02895)";"Camí de la Barceloneta - St. Iscle d'Empordà";"12";"171910";"Serra de Daró";"10";"Baix Empordà";"17";"Girona";"1";"XEMA";"1";"Desmantellada";"09/06/1999";"01/06/2013"
"VK";"Raimat";"A";"41,68325";"0,44871";"POINT (0.44871 41.68325)";"Finca Montserrat - Raimat";"286";"251207";"Lleida";"33";"Segrià";"25";"Lleida";"1";"XEMA";"2";"Operativa";"31/08/1988";
"U8";"Punta del Fangar";"A";"40,78653";"0,74264";"POINT (0.74264 40.78653)";"Punta del Fangar";"0";"439018";"Deltebre";"9";"Baix Ebre";"43";"Tarragona";"1";"XEMA";"1";"Desmantellada";"30/04/1992";"19/02/2009"
"VU";"Rellinars";"A";"41,63285";"1,91718";"POINT (1.91718 41.63285)";"Puig de la Ballesta";"429";"81799";"Rellinars";"40";"Vallès Occidental";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"18/02/1998";
"D9";"el Vendrell";"A";"41,21554";"1,52117";"POINT (1.52117 41.21554)";"Instal·lacions esportives municipals";"59";"431634";"El Vendrell";"12";"Baix Penedès";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"11/06/1999";
"XE";"Tarragona - Complex Educatiu";"A";"41,10392";"1,201";"POINT (1.201 41.10392)";"Complex Educatiu";"6";"431482";"Tarragona";"36";"Tarragonès";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"05/02/2009";
"MS";"Castellar de n'Hug - el Clot del Moro";"A";"42,25943";"1,9761";"POINT (1.9761 42.25943)";"Aforament Castellar de n'Hug";"940";"80522";"Castellar de n'Hug";"14";"Berguedà";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"26/01/2010";
"XL";"el Prat de Llobregat";"A";"41,34054";"2,08019";"POINT (2.08019 41.34054)";"Camí de la Ribera s/n";"7";"81691";"El Prat de Llobregat";"11";"Baix Llobregat";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"22/03/2011";
"YF";"Miami Platja";"A";"41,02066";"0,9345";"POINT (0.9345 41.02066)";"Plana dels Penyals";"43";"430923";"Mont-roig del Camp";"8";"Baix Camp";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"20/12/2017";
"VC";"Pantà de Riba-roja";"A";"41,2441";"0,4327";"POINT (0.4327 41.2441)";"Presa de Riba-roja";"77";"431251";"Riba-roja d'Ebre";"30";"Ribera d'Ebre";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"18/11/1996";
"DK";"Torredembarra";"A";"41,14675";"1,41843";"POINT (1.41843 41.14675)";"Aiguamolls els Muntanyans";"2";"431536";"Torredembarra";"36";"Tarragonès";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"24/11/1999";
"UJ";"Santa Coloma de Queralt";"A";"41,52879";"1,3683";"POINT (1.3683 41.52879)";"Partida la Cabana";"709";"431397";"Santa Coloma de Queralt";"16";"Conca de Barberà";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"19/11/1996";
"YL";"Riudecanyes";"A";"41,12267";"0,96958";"POINT (0.96958 41.12267)";"els Gorgs";"171";"431270";"Riudecanyes";"8";"Baix Camp";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"06/02/2019";
"YN";"Vielha - Elipòrt";"A";"42,69737";"0,80197";"POINT (0.80197 42.69737)";"Elipòrt de VIelha";"1.029";"252430";"Vielha e Mijaran";"39";"Val d'Aran";"25";"Lleida";"1";"XEMA";"2";"Operativa";"11/03/2021";
"U5";"Prades - los Hortals";"A";"41,31349";"0,99611";"POINT (0.99611 41.31349)";"Finca los Hortals";"969";"431166";"Prades";"8";"Baix Camp";"43";"Tarragona";"1";"XEMA";"1";"Desmantellada";"12/12/1995";"31/01/2013"
"X3";"Alguaire";"A";"41,7428";"0,53578";"POINT (0.53578 41.7428)";"Aeròdrom";"371";"250169";"Alguaire";"33";"Segrià";"25";"Lleida";"1";"XEMA";"2";"Operativa";"02/06/2006";
"Y6";"Tivissa";"A";"41,04342";"0,74029";"POINT (0.74029 41.04342)";"-";"317";"431508";"Tivissa";"30";"Ribera d'Ebre";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"26/03/2015";
"UQ";"Dosrius - PN Montnegre Corredor";"A";"41,61991";"2,44532";"POINT (2.44532 41.61991)";"Parc Natural del Corredor. Masia Can Bosc";"462";"80752";"Dosrius";"21";"Maresme";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"09/08/1996";
"D6";"Portbou - coll dels Belitres";"A";"42,43514";"3,16619";"POINT (3.16619 42.43514)";"Punta de l'Aucell  (zona fronterera)";"198";"171387";"Portbou";"2";"Alt Empordà";"17";"Girona";"1";"XEMA";"2";"Operativa";"25/03/1998";
"DG";"Núria (1.971 m)";"A";"42,39848";"2,15517";"POINT (2.15517 42.39848)";"Santuari de Núria";"1.971";"170433";"Queralbs";"31";"Ripollès";"17";"Girona";"1";"XEMA";"2";"Operativa";"15/05/1998";
"WE";"Vilanova del Vallès";"A";"41,5444";"2,30014";"POINT (2.30014 41.5444)";"Mas Casa Alta";"126";"89024";"Vilanova del Vallès";"41";"Vallès Oriental";"8";"Barcelona";"1";"XEMA";"1";"Desmantellada";"05/07/2000";"05/05/2025"
"XG";"Parets del Vallès";"A";"41,5673";"2,22615";"POINT (2.22615 41.5673)";"CEIP Pau Vila";"118";"81593";"Parets del Vallès";"41";"Vallès Oriental";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"30/10/2008";
"XX";"Anglesola - Tornabous";"A";"41,68834";"1,04477";"POINT (1.04477 41.68834)";"Masia Mingot";"292";"250273";"Anglesola";"38";"Urgell";"25";"Lleida";"1";"XEMA";"2";"Operativa";"06/08/2013";
"WR";"Torroja del Priorat";"A";"41,21629";"0,79745";"POINT (0.79745 41.21629)";"Ref.cadastral: Pol. 3, parc. 38";"301";"431541";"Torroja del Priorat";"29";"Priorat";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"27/11/2003";
"WU";"Badalona - Museu";"A";"41,45215";"2,24757";"POINT (2.24757 41.45215)";"Museu";"42";"80155";"Badalona";"13";"Barcelonès";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"21/09/2005";
"CH";"Falset - Escola";"A";"41,15076";"0,82357";"POINT (0.82357 41.15076)";"Col·legi Públic Antoni Vilanova";"350";"430555";"Falset";"29";"Priorat";"43";"Tarragona";"1";"XEMA";"1";"Desmantellada";"01/12/1995";"05/07/2005"
"CB";"les Llosses";"A";"42,15085";"2,19914";"POINT (2.19914 42.15085)";"Abocador comarcal";"700";"170963";"Les Llosses";"31";"Ripollès";"17";"Girona";"1";"XEMA";"1";"Desmantellada";"30/11/1995";"02/06/2003"
"WC";"Golmés";"A";"41,63641";"0,92445";"POINT (0.92445 41.63641)";"Partida Fogones";"260";"250997";"Golmés";"27";"Pla d'Urgell";"25";"Lleida";"1";"XEMA";"2";"Operativa";"08/08/2000";
"CO";"Torres de Segre - Depuradora";"A";"41,52603";"0,52711";"POINT (0.52711 41.52603)";"Depuradora municipal";"143,6";"252326";"Torres de Segre";"33";"Segrià";"25";"Lleida";"1";"XEMA";"1";"Desmantellada";"23/11/1995";"25/05/2006"
"MR";"Pantà de Siurana";"A";"41,2508";"0,91063";"POINT (0.91063 41.2508)";"Pantà de Siurana - Xalet del Pantà";"503";"430496";"Cornudella de Montsant";"29";"Priorat";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"08/11/2010";
"UB";"la Tallada d'Empordà";"A";"42,05394";"3,06198";"POINT (3.06198 42.05394)";"Findació Mas Badia - Canet de la Tallada";"15";"171959";"La Tallada d'Empordà";"10";"Baix Empordà";"17";"Girona";"1";"XEMA";"2";"Operativa";"01/05/1989";
"M6";"Sant Joan de les Abadesses";"A";"42,22187";"2,24267";"POINT (2.24267 42.22187)";"Agrupació Esportiva del Ripollès";"736";"171674";"Sant Joan de les Abadesses";"31";"Ripollès";"17";"Girona";"1";"XEMA";"2";"Operativa";"13/01/1996";
"W8";"Blancafort";"A";"41,44237";"1,15998";"POINT (1.15998 41.44237)";"Cooperativa vinícola, pl.del Sindicat";"437";"430290";"Blancafort";"16";"Conca de Barberà";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"18/01/2000";
"XS";"Santa Coloma de Farners";"A";"41,86491";"2,66444";"POINT (2.66444 41.86491)";"Dipòsit d'aigua";"165";"171805";"Santa Coloma de Farners";"34";"Selva";"17";"Girona";"1";"XEMA";"2";"Operativa";"26/03/2013";
"DI";"Font-rubí";"A";"41,4329";"1,62386";"POINT (1.62386 41.4329)";"Masia Ca l'Amàlia - Montjuic";"414";"80850";"Font-rubí";"3";"Alt Penedès";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"16/07/1998";
"YV";"Mataró";"A";"41,54518";"2,43322";"POINT (2.43322 41.54518)";"Parc de Rafael Alberti, Estació MeteoMar";"88";"81213";"Mataró";"21";"Maresme";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"11/06/2025";
"XH";"Sort";"A";"42,40537";"1,12997";"POINT (1.12997 42.40537)";"Escola de Piragüisme";"677";"252094";"Sort";"26";"Pallars Sobirà";"25";"Lleida";"1";"XEMA";"2";"Operativa";"31/07/2009";
"XQ";"Tremp";"A";"42,16255";"0,88811";"POINT (0.88811 42.16255)";"Conillera de Joncar";"474";"252347";"Tremp";"25";"Pallars Jussà";"25";"Lleida";"1";"XEMA";"2";"Operativa";"22/10/2012";
"WA";"Oliola";"A";"41,87694";"1,1541";"POINT (1.1541 41.87694)";"Partida l'Era";"444";"251500";"Oliola";"23";"Noguera";"25";"Lleida";"1";"XEMA";"2";"Operativa";"26/03/2001";
"D7";"Vinebre";"A";"41,18498";"0,59374";"POINT (0.59374 41.18498)";"Partida de Mallols";"51";"431779";"Vinebre";"30";"Ribera d'Ebre";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"22/01/1998";
"XK";"Puig Sesolles (1.666 m)";"A";"41,77362";"2,43774";"POINT (2.43774 41.77362)";"Puig Sesolles (Massís del Montseny)";"1.666";"80811";"Fogars de Montclús";"41";"Vallès Oriental";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"22/09/2010";
"UL";"Castelldans";"A";"41,52911";"0,75303";"POINT (0.75303 41.52911)";"Mas de St. Jaume, crta. de Castelldans a Puigvert";"228";"250674";"Castelldans";"18";"Garrigues";"25";"Lleida";"1";"XEMA";"1";"Desmantellada";"16/09/1997";"21/02/2017"
"X9";"Caldes de Montbui";"A";"41,61264";"2,1683";"POINT (2.1683 41.61264)";"Torre Marimon";"177";"80333";"Caldes de Montbui";"41";"Vallès Oriental";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"08/03/2007";
"UN";"Cassà de la Selva";"A";"41,87448";"2,92695";"POINT (2.92695 41.87448)";"Finca Mas Bassets";"178";"170448";"Cassà de la Selva";"20";"Gironès";"17";"Girona";"1";"XEMA";"2";"Operativa";"08/03/1993";
"W6";"Riudoms";"A";"41,13738";"1,0187";"POINT (1.0187 41.13738)";"Mas d'en Domènec";"158";"431299";"Riudoms";"8";"Baix Camp";"43";"Tarragona";"1";"XEMA";"1";"Desmantellada";"19/10/1999";"06/02/2019"
"XT";"Solsona";"A";"41,98762";"1,51159";"POINT (1.51159 41.98762)";"Magatzem Municipal";"692";"252075";"Solsona";"35";"Solsonès";"25";"Lleida";"1";"XEMA";"2";"Operativa";"12/07/2012";
"WX";"Camarasa";"A";"41,9178";"0,88175";"POINT (0.88175 41.9178)";"Camarasa";"669";"250621";"Camarasa";"23";"Noguera";"25";"Lleida";"1";"XEMA";"2";"Operativa";"07/03/2006";
"DA";"Vila-rodona - Escola";"A";"41,30839";"1,3622";"POINT (1.3622 41.30839)";"Zona de les Escoles Noves";"278";"431704";"Vila-rodona";"1";"Alt Camp";"43";"Tarragona";"1";"XEMA";"1";"Desmantellada";"23/01/1998";"28/07/2005"
"UF";"PN del Garraf - el Rascler";"A";"41,28833";"1,90773";"POINT (1.90773 41.28833)";"El Rascler - Centre de Repetidors Aeroport. Parc Natural del Garraf";"573";"80207";"Begues";"11";"Baix Llobregat";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"29/02/1996";
"H1";"Òdena";"A";"41,5864";"1,65308";"POINT (1.65308 41.5864)";"Aeròdrom d'Òdena";"333";"81430";"Òdena";"6";"Anoia";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"31/05/1999";
"V7";"Embassament de Sau";"A";"41,97554";"2,39837";"POINT (2.39837 41.97554)";"Embassament de Sau. Club Nàutic.";"435";"83036";"Vilanova de Sau";"24";"Osona";"8";"Barcelona";"1";"XEMA";"1";"Desmantellada";"20/05/1997";"02/05/2006"
"YG";"Tírvia";"A";"42,51881";"1,24244";"POINT (1.24244 42.51881)";"Heliport de Tírvia";"955";"252213";"Tírvia";"26";"Pallars Sobirà";"25";"Lleida";"1";"XEMA";"2";"Operativa";"11/01/2018";
"XB";"la Llacuna";"A";"41,47785";"1,53527";"POINT (1.53527 41.47785)";"Cal Mateu";"585";"81043";"La Llacuna";"6";"Anoia";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"19/03/2008";
"C9";"Mas de Barberans";"A";"40,71822";"0,39986";"POINT (0.39986 40.71822)";"Abocador comarcal";"241";"430770";"Mas de Barberans";"22";"Montsià";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"11/04/1997";
"YQ";"Port de Barcelona - ZAL Prat";"A";"41,31928";"2,1372";"POINT (2.1372 41.31928)";"Port de Barcelona";"5";"81691";"El Prat de Llobregat";"11";"Baix Llobregat";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"02/12/2021";
"W3";"Ventalló";"A";"42,15006";"3,06494";"POINT (3.06494 42.15006)";"el Camp Lletget - Mare de Déu de l'Om - Montiró";"4";"172109";"Ventalló";"2";"Alt Empordà";"17";"Girona";"1";"XEMA";"1";"Desmantellada";"14/03/2000";"12/01/2015"
"WY";"Sant Sadurní d'Anoia - el Clot de les Comes";"A";"41,43386";"1,79429";"POINT (1.79429 41.43386)";"-";"164";"82401";"Sant Sadurní d'Anoia";"3";"Alt Penedès";"8";"Barcelona";"1";"XEMA";"1";"Desmantellada";"11/04/2006";"07/05/2021"
"UP";"Cabrils";"A";"41,51773";"2,37702";"POINT (2.37702 41.51773)";"IRTA Cabrils, crta. de Vilassar a Cabrils, s/n";"81";"80305";"Cabrils";"21";"Maresme";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"27/11/1995";
"VW";"Caldes de Montbui - Torre Marimon";"A";"41,61235";"2,17099";"POINT (2.17099 41.61235)";"Finca Torre Marimon";"164,5";"80333";"Caldes de Montbui";"41";"Vallès Oriental";"8";"Barcelona";"1";"XEMA";"1";"Desmantellada";"23/12/1990";"08/03/2007"
"DO";"Castell d'Aro";"A";"41,80855";"3,03241";"POINT (3.03241 41.80855)";"Parc de Bombers";"14";"170486";"Castell d'Aro, Platja d'Aro i s'Agaró";"10";"Baix Empordà";"17";"Girona";"1";"XEMA";"2";"Operativa";"10/05/2001";
"V5";"Perafita";"A";"42,03947";"2,11993";"POINT (2.11993 42.03947)";"Finca la Tria";"777";"81607";"Perafita";"43";"Lluçanès";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"03/07/1995";
"C8";"Cervera";"A";"41,67556";"1,2961";"POINT (1.2961 41.67556)";"Abocador comarcal";"556";"250729";"Cervera";"32";"Segarra";"25";"Lleida";"1";"XEMA";"2";"Operativa";"27/10/1995";
"CW";"l'Espluga de Francolí";"A";"41,39242";"1,09895";"POINT (1.09895 41.39242)";"Urb. Espluga Parc";"446";"430542";"L'Espluga de Francolí";"16";"Conca de Barberà";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"23/02/1996";
"XM";"els Alamús";"A";"41,59514";"0,73515";"POINT (0.73515 41.59514)";"-";"231";"250045";"Els Alamús";"33";"Segrià";"25";"Lleida";"1";"XEMA";"2";"Operativa";"22/06/2011";
"XU";"Canyelles";"A";"41,288";"1,72201";"POINT (1.72201 41.288)";"Cementiri";"150";"80431";"Canyelles";"17";"Garraf";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"16/07/2013";
"ZC";"Ulldeter (2.413 m)";"A";"42,42102";"2,24593";"POINT (2.24593 42.42102)";"Ulldeter";"2.413";"171925";"Setcases";"31";"Ripollès";"17";"Girona";"1";"XEMA";"2";"Operativa";"28/09/2011";
"DE";"Botarell";"A";"41,15404";"0,99772";"POINT (0.99772 41.15404)";"Planta de compostatge";"231";"430332";"Botarell";"8";"Baix Camp";"43";"Tarragona";"1";"XEMA";"1";"Desmantellada";"16/01/1998";"16/01/2007"
"Z5";"Certascan (2.398 m)";"A";"42,7003";"1,272";"POINT (1.272 42.7003)";"Certascan";"2.398";"251235";"Lladorre";"26";"Pallars Sobirà";"25";"Lleida";"1";"XEMA";"2";"Operativa";"11/11/2000";
"MW";"Navès";"A";"42,00707";"1,65239";"POINT (1.65239 42.00707)";"el Garrigar";"549";"251462";"Navès";"35";"Solsonès";"25";"Lleida";"1";"XEMA";"2";"Operativa";"22/03/2010";
"ZB";"Salòria (2.451 m)";"A";"42,51939";"1,36597";"POINT (1.36597 42.51939)";"Salòria";"2.451";"250175";"Alins";"26";"Pallars Sobirà";"25";"Lleida";"1";"XEMA";"2";"Operativa";"30/09/2004";
"C6";"Castellnou de Seana";"A";"41,65662";"0,95172";"POINT (0.95172 41.65662)";"Abocador comarcal";"264";"250680";"Castellnou de Seana";"27";"Pla d'Urgell";"25";"Lleida";"1";"XEMA";"2";"Operativa";"16/12/1995";
"XW";"Lleida - la Bordeta";"A";"41,59822";"0,64855";"POINT (0.64855 41.59822)";"Torre de Vallverdú";"165";"251207";"Lleida";"33";"Segrià";"25";"Lleida";"1";"XEMA";"1";"Desmantellada";"24/07/2013";"17/10/2018"
"W5";"Oliana";"A";"42,07683";"1,31489";"POINT (1.31489 42.07683)";"Partida Esclotes";"491";"251497";"Oliana";"4";"Alt Urgell";"25";"Lleida";"1";"XEMA";"2";"Operativa";"22/06/2000";
"WJ";"el Masroig";"A";"41,1223";"0,72182";"POINT (0.72182 41.1223)";"Finca Terranova";"143";"430825";"El Masroig";"29";"Priorat";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"20/06/2000";
